CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,X2_TR,X10_IE,fuente,metodo,nivel_infraestructura,conectividad_digital,equipamiento_tecnologico,infraestructura_electrica,internet_operativo,equipos_total,tiene_electricidad
355289,15383,48,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
673780,15478,48,2,0.5755,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.802,0.015,0.85,1.0,1.0,1.0
840595,20104,48,2,0.27,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.0,0.85,0.0,0.0,1.0
840504,20123,48,2,0.4569,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.6231,0.85,0.0,26.0,1.0
626424,15055,48,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
595082,294,72,2,0.13,conectividad_equipamiento,calculo_directo,Muy Baja (0-0.2),0.2,0.0,0.15,0.0,0.0,0.0
595108,295,72,2,0.27,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.0,0.85,0.0,0.0,1.0
715011,333-B,72,2,0.27,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.0,0.85,0.0,0.0,1.0
271379,64028,72,2,0.889,conectividad_equipamiento,calculo_directo,Muy Alta (0.8-1.0),0.802,1.0,0.94,1.0,22.0,1.0
271551,64048,72,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
275107,64115,72,2,0.5102,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.8008,0.85,0.0,19.0,1.0
530535,64641,72,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
733535,64871-B,72,1,0.7016,imputacion_contextual,ruralidad_1,Alta (0.6-0.8),,,,,,
272773,64508-B,72,2,0.8659,conectividad_equipamiento,calculo_directo,Muy Alta (0.8-1.0),0.802,0.9829,0.85,1.0,41.0,1.0
273359,64545-B,72,2,0.148,conectividad_equipamiento,calculo_directo,Muy Baja (0-0.2),0.2,0.0,0.24,0.0,0.0,0.0
657122,64798,72,2,0.2925,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.015,0.94,0.0,1.0,1.0
666677,64829,72,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1568799,525-B,72,2,0.27,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.0,0.85,0.0,0.0,1.0
